Region_Name,location_code,location_name,Latitude,Longitude
Chennai,2,HG-ALWARPET-CHE,13.0368894,80.255782
Chennai,3,HG-ADYAR-CHE,13.002094,80.251966
Chennai,17,HG-ANNANAGAR-CHE,13.0850245,80.2116145
Chennai,33,HG-NUNGAMBAKKAM-CHE,13.0599829,80.2478676
Chennai,47,HG-NORTH BOAG RD-CHE,13.0424407,80.2443149
Chennai,64,HG-MYLAPORE-CHE,13.0322321,80.2672641
Chennai,70,HG-NORTHUSMAN RD-CHE,13.049158,80.2333942
Chennai,80,HG-ANNANAGARWEST-CHE,13.0929294,80.1965333
Chennai,85,HG-PONDY BAZAAR-CHE,13.0409253,80.2377665
Chennai,98,HG-KILPAUK-CHE,13.0831209,80.241054
Chennai,102,HG-EXPRESS MALL-CHE,13.0586082,80.2645643
Chennai,107,HG-R A PURAM-CHE,13.027034,80.2576847
Chennai,109,HG-ASHOK NAGAR-CHE,13.0479118,80.2193212
Chennai,130,HG-PHOENIX MALL-CHE,12.9911001,80.2168811
Chennai,133,HG-KKNAGAR-CHE,13.0398118,80.1932114
Chennai,135,HG-FORUM VIJAYA MALL-CHE,13.0508782,80.2096847
Chennai,140,HG-SHANTICOLONY-CHE,13.0821818,80.2149874
Chennai,149,HG-MG ROAD-CHE,12.9965876,80.2588278
Chennai,155,HG-PERIYAR NAGAR-CHE,13.1139362,80.2255081
Chennai,159,HG-KOTTIVAKAM-CHE,12.9757392,80.2587544
Chennai,162,HG-VALASARAVAKKAM-CHE,13.04213,80.1793468
Chennai,168,HG-CHROMEPET-CHE,12.957451,80.1433817
Chennai,183,HG-SHOZINGANALUR-CHE,12.8990521,80.2281536
Chennai,185,HG-CAMP ROAD-CHE,12.9107788,80.1432728
Chennai,193,HG-KEELKATTALAI-CHE,12.9576201,80.187104
Chennai,197,HG-VIVIRA MALL-CHE,12.8504664,80.2258347
Chennai,206,HG-VIRTUOUS MALL-CHE,13.0804863,80.1964999
Chennai,212,HG-PALLADIUM-CHE,12.9924368,80.217446
Chennai,214,HG-MARINA MALL-CHE,12.836195,80.2292641
Chennai,236,HG-PALLIKARANAI-CHE,12.9290867,80.2029673
Chennai,255,HG-IYYAPPANTHANGAL-CHE,13.0392565,80.1319083
Chennai,260,HG-NOLUMBUR-CHE,13.0811491,80.16549683
Chennai,298,HG-NANGANALLUR-CHE,12.9827898,80.1918551
Chennai,405,HG-AMBATTUR-CHE,13.122779,80.1489553
Chennai,406,HG-PURASAIWALKAM-CHE,13.0863515,80.256502
Hyderabad,9,HG-DC-HYD,17.4031389,78.5193611
Hyderabad,30,HG-HIMAYAT NAGAR-HYD,17.40172768,78.48403168
Hyderabad,74,HG-KARKHANA-HYD,17.4643214,78.5026504
Hyderabad,111,HG-INORBIT MALL-HYD,17.433854,78.3864149
Hyderabad,122,HG-HABSIGUDA-HYD,17.4131692,78.5454938
Hyderabad,124,HG-AMEERPET2-HYD,17.438819,78.450535
Hyderabad,125,HG-BHARKATHPURA-HYD,17.39326477,78.49732971
Hyderabad,126,HG-TOLICHOWKI-HYD,17.4053355,78.4045761
Hyderabad,136,HG-EASTMAREDPALY-HYD,17.4438286,78.5072849
Hyderabad,144,HG-A S RAO NAGAR-HYD,17.478273,78.5603686
Hyderabad,148,HG-SUJANA MALL-HYD,17.4836905,78.3888675
Hyderabad,156,HG-MALAKPET-HYD,17.3720708,78.51074696
Hyderabad,175,HG-NIZAMPET-NEW-HYD,17.5110826,78.3846919
Hyderabad,207,HG-PUNJAGUTTA MALL-HYD,17.42882,78.450363
Hyderabad,208,HG-GSM MALL-HYD,17.4963599,78.3357069
Hyderabad,209,HG-SARATH CITY-3 FLR-HYD,17.457926,78.3637719
Hyderabad,223,HG-VIVEKANANDA NAGAR-HYD,17.493954,78.4107157
Hyderabad,224,HG-VANASTHALIPURAM-HYD,17.3353264,78.5695687
Hyderabad,241,HG-MANIKONDA SHAIKPET-HYD,17.4065315,78.391854
Hyderabad,242,HG-BANJARA HILLS-NEW-HYD,17.4075222,78.44535828
Hyderabad,244,HG-DSL MALL-HYD,17.3998678,78.5551306
Hyderabad,269,HG-ALKAPUR-HYD,17.3963259,78.3703383
Hyderabad,279,HG-SHIVAM ROAD-HYD,17.4045334,78.515195
Hyderabad,282,HG-KONDAPUR-HYD,17.4699,78.35791
Hyderabad,283,HG-NALLAGANDLA-HYD,17.463128,78.308462
Hyderabad,284,HG-KOTHAPET-HYD,17.3678476,78.5401753
Hyderabad,288,HG-AMR PLANET-HYD,17.463272,78.560791
Hyderabad,292,HG-GVK MALL-HYD,17.4192791,78.44828033
Hyderabad,404,HG-PRAGATHINAGAR-HYD,17.5258296,78.3947904
Hyderabad,300,Hyderabad RO,17.407399,78.445318
Chennai,100,HG-CHENNAI-RO,13.049571,80.248563
Hyderabad,418,HG-GACHIBOWLI-HYD,17.442791,78.355292
Chennai,701,HG-EXPRESSMALL KIOSK,13.05874,80.2645643
Chennai,423,HG-NEELANKARAI-CHE,12.94893,80.254455
Chennai,425,HG-PADUR-CHE,12.794373,80.222865
